battery,dataset,method,labels,n_clusters,rand_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,adjusted_mutual_info_score,fowlkes_mallows_score,NCA,params,eps,min_samples,linkage,gini_threshold
sipu,a1,kmeans,labels0,20,0.966344710501798,0.5950830685013226,13829.97184656078,0.5266442987220668,0.9732559391557386,0.9680171410185083,0.9828070175438598,default,,,,
sipu,a1,dbscan,labels0,20,0.0,,,,0.0,0.2228973479936019,0.0,default,0.2,5.0,,
sipu,a1,agglomerative,labels0,20,0.9141553020400474,0.5762024884750478,12870.149302180527,0.5496337672216953,0.9461970186902713,0.9184429744064943,0.9543859649122807,default,,,ward,
sipu,a1,agglomerative,labels0,20,0.44357102283866345,0.013508838338282677,1570.1791388873169,0.9158492423433666,0.784089002282737,0.5639905857956433,0.3712280701754387,default,,,single,
sipu,a1,agglomerative,labels0,20,0.9162284295009431,0.5756871613977956,12809.892708518762,0.5566349575474518,0.9495075515822045,0.9204149690188661,0.955438596491228,default,,,complete,
sipu,a1,agglomerative,labels0,20,0.9250943103206616,0.58196351459605,13137.097206995215,0.5417183086365162,0.9507324758125475,0.9288248484100883,0.96,default,,,average,
sipu,a1,genie,labels0,20,0.9371177919813078,0.5858282658405963,13331.893120293553,0.5403875327726557,0.9578443021261667,0.9402462009632022,0.9666666666666667,default,,,,0.1
sipu,a1,genie,labels0,20,0.8988358642156503,0.5637892790218223,11325.884671502045,0.5755228434703279,0.9511805466645733,0.9046417690525569,0.911578947368421,default,,,,0.3
sipu,a1,genie,labels0,20,0.8341775122002676,0.48125807455254654,8538.24145712283,0.6113911012860878,0.9359776219381181,0.8487740975155929,0.8400000000000001,default,,,,0.5
sipu,a1,genie,labels0,20,0.584753915246741,0.14635095488527064,3347.135773608795,0.8892390916938118,0.8622903425725561,0.6595378006002113,0.5764912280701754,default,,,,0.7
sipu,a1,genie,labels0,20,0.44357102283866345,0.013508838338282677,1570.1791388873166,0.9158492423433666,0.784089002282737,0.5639905857956433,0.3712280701754387,default,,,,0.9
sipu,a1,dbscan,labels0,20,0.7226362064269642,0.4952565382639062,2235.032422824125,2.235061279383199,0.8776036651318685,0.7497113924539398,0.7456140350877192,custom,0.07,10.0,,
sipu,a2,kmeans,labels0,35,0.9676920406873721,0.5975267622566245,18212.69208994713,0.5241820414196181,0.9772908071791757,0.9686092912983393,0.983529411764706,default,,,,
sipu,a2,dbscan,labels0,35,0.0,,,,0.0,0.16848251929068064,0.0,default,0.2,5.0,,
sipu,a2,agglomerative,labels0,35,0.9222566535913777,0.5797461645747656,17056.251472097072,0.5467395583651731,0.9573476884071119,0.9244776630604656,0.9588235294117647,default,,,ward,
sipu,a2,agglomerative,labels0,35,0.34775657782159847,-0.21604396386104519,1238.756928031839,0.9288057446642514,0.7634493121313372,0.48041040251394823,0.2968627450980391,default,,,single,
sipu,a2,agglomerative,labels0,35,0.9084154805260766,0.5678666157558577,16197.223622911211,0.5527520472328193,0.9515010193146101,0.9110337779323047,0.9507843137254902,default,,,complete,
sipu,a2,agglomerative,labels0,35,0.9337253051435004,0.5866231005586898,17435.40547935382,0.5356336978109221,0.9603935137366822,0.9356106662864341,0.9650980392156865,default,,,average,
sipu,a2,genie,labels0,35,0.9490650046270829,0.5909417776535391,17764.470640957727,0.5333446445129776,0.9684736983178571,0.9505123265268504,0.9733333333333334,default,,,,0.1
sipu,a2,genie,labels0,35,0.9224269939499103,0.5769713252716143,16067.67441896801,0.5536852208652264,0.9631876081631241,0.9248988671278883,0.9400000000000001,default,,,,0.3
sipu,a2,genie,labels0,35,0.8314707927614925,0.48641273695292175,11187.23933693661,0.6405806052507254,0.9439920674577753,0.8426342886748502,0.8311764705882353,default,,,,0.5
sipu,a2,genie,labels0,35,0.5268188566004758,0.12688564033253194,3088.9156541016596,0.8797179243889757,0.8661002768123892,0.6074647104442441,0.5554901960784313,default,,,,0.7
sipu,a2,genie,labels0,35,0.34775657782159847,-0.21604396386104519,1238.756928031839,0.9288057446642514,0.7634493121313373,0.48041040251394823,0.29686274509803917,default,,,,0.9
sipu,a3,kmeans,labels0,50,0.9721790225531262,0.6008065207455193,24581.399736124993,0.5188753253644824,0.9813990845596131,0.9727318844270331,0.9858503401360541,default,,,,
sipu,a3,dbscan,labels0,50,0.0,,,,0.0,0.1409585609630995,0.0,default,0.2,5.0,,
sipu,a3,agglomerative,labels0,50,0.9373762821575673,0.5875477706390156,23386.529755982032,0.5353351198477379,0.9662711026509234,0.9386268885134269,0.9670748299319726,default,,,ward,
sipu,a3,agglomerative,labels0,50,0.31538907963814694,-0.29621897496978133,1453.6869715621006,0.9352161781291121,0.7566019043517778,0.4488624525705467,0.24843537414965963,default,,,single,
sipu,a3,agglomerative,labels0,50,0.9178556297352153,0.5743323959236961,22159.666129174504,0.5449167595122916,0.9582065836342111,0.9194996227367005,0.956190476190476,default,,,complete,
sipu,a3,agglomerative,labels0,50,0.9435266923673953,0.5911134261749951,23627.247753943288,0.5287420276601825,0.9674847920064399,0.9446507020801282,0.9704761904761902,default,,,average,
sipu,a3,genie,labels0,50,0.9573626597722779,0.5956571190071592,24104.924563723933,0.5255406417017224,0.9743901423504098,0.9582104851743146,0.9778231292517005,default,,,,0.1
sipu,a3,genie,labels0,50,0.9386545158221451,0.5858778225326927,22439.483016697657,0.5397789256360725,0.9710013336475657,0.9400043244332711,0.9546938775510201,default,,,,0.3
sipu,a3,genie,labels0,50,0.8246718421265236,0.49304212434937383,14699.697504359261,0.6406427001467447,0.9503528906524369,0.8357623280898184,0.8361904761904762,default,,,,0.5
sipu,a3,genie,labels0,50,0.5732653334223535,0.17080542463562445,4899.897767780699,0.8214922027179564,0.8901751549495353,0.6378648002918382,0.5888435374149659,default,,,,0.7
sipu,a3,genie,labels0,50,0.31538907963814694,-0.29621897496978133,1453.6869715621012,0.9352161781291121,0.7566019043517779,0.4488624525705467,0.24843537414965963,default,,,,0.9
sipu,aggregation,kmeans,labels0,7,0.7624141522261686,0.4809819832611429,1396.562742001016,0.7313116507789085,0.877619063595315,0.8159416273645236,0.7488328664799253,default,,,,
sipu,aggregation,dbscan,labels0,7,0.8089434170360936,0.41200522675763057,754.2002051436184,0.6249484475099636,0.8882310810796876,0.8652444832467558,0.6666666666666666,default,0.2,5.0,,
sipu,aggregation,agglomerative,labels0,7,0.8133137382841514,0.4716456631893164,1350.078786551986,0.7100973568061999,0.9192988285200682,0.8558985120185232,0.7759462759462759,default,,,ward,
sipu,aggregation,agglomerative,labels0,7,0.8042069683967059,0.28249786988439884,506.3067486426996,0.6000626891381213,0.881536346473864,0.8611807579495235,0.6637254901960784,default,,,single,
sipu,aggregation,agglomerative,labels0,7,0.7659866536702702,0.4434016210000096,1239.683149250279,0.8899972974373512,0.8563261223726525,0.8160666060958994,0.7335164835164836,default,,,complete,
sipu,aggregation,agglomerative,labels0,7,0.9934673139347668,0.493585313501689,1202.4999132790815,0.5040974050549761,0.9894076991127143,0.99488119732326,0.9961538461538462,default,,,average,
sipu,aggregation,genie,labels0,7,0.47758391317356247,0.18931552100757745,552.7311186051749,1.2436974221406125,0.7041921824436193,0.5821370374574807,0.5773073331896862,default,,,,0.1
sipu,aggregation,genie,labels0,7,0.5655444195295304,0.2897629012021621,781.2675185759872,0.9205173836832365,0.7582581585710513,0.6573340830290904,0.5773073331896862,default,,,,0.3
sipu,aggregation,genie,labels0,7,0.8798629784332954,0.3868285727478525,746.8989790932709,0.5900232743365003,0.9176389693561221,0.9081352440551778,0.8756410256410256,default,,,,0.5
sipu,aggregation,genie,labels0,7,0.7689905558690863,0.29737570043053363,523.8719410379058,0.7948615493704743,0.8532776574861629,0.8310733014256312,0.6392156862745099,default,,,,0.7
sipu,aggregation,genie,labels0,7,0.8042069683967059,0.28249786988439884,506.3067486426996,0.6000626891381213,0.881536346473864,0.8611807579495235,0.6637254901960784,default,,,,0.9
sipu,aggregation,dbscan,labels0,7,0.805782050031544,0.3187535603421094,606.2850201170569,0.6211106235243017,0.8839665666947123,0.8625317256306636,0.6647058823529411,custom,0.15,5.0,,
sipu,aggregation,dbscan,labels0,7,0.9817446497088065,0.48408838794187753,983.5981273554985,1.0153000328428097,0.9723235177440306,0.9857109257664646,0.9856053532524122,custom,0.15,8.0,,
sipu,compound,kmeans,labels0,6,0.5363817143177085,0.4311752211472218,870.5727175282,0.8450934425802131,0.7127905276368566,0.6410042092388153,0.6788698098208279,default,,,,
sipu,compound,kmeans,labels1,4,0.7556592804153637,0.502084580821214,840.9033450535117,0.7402276926788102,0.8012489663041069,0.8317236524621585,0.7438398629282686,default,,,,
sipu,compound,kmeans,labels2,5,0.5829991642364839,0.5242470371532645,829.7218912056577,0.6675014678200807,0.7629974104682057,0.6843370879466893,0.6525316455696203,default,,,,
